"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",29,55,172,46,39,73,48,183,77,103,102,174
"2",25,45,175,35,31,55,34,142,81,115,100,180
"3",31,48,182,41,47,72,40,200,86,90,96,180
"4",34,45,186,36,32,75,42,173,56,87,90,193
"5",33,40,187,46,24,80,35,180,75,91,100,197
"6",34,48,189,35,33,75,45,154,74,102,100,182
"7",26,43,198,34,21,74,36,179,79,86,92,193
"8",24,41,189,44,43,62,48,183,88,109,94,194
"9",34,44,147,40,37,66,36,158,73,112,103,196
"10",25,43,207,45,31,65,49,181,77,108,115,220
"11",36,55,188,39,39,62,43,144,68,98,79,173
"12",23,48,196,31,31,71,31,177,86,86,73,156
